commit	val_roi	val_brier	status	description
e89d45a	0.422588	0.236864	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=64
e89d45a	0.448483	0.236845	ok	model=lr calibrate=False folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.371005	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.15 feats=63
e89d45a	0.386959	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=63
e89d45a	0.437861	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.270837	0.237100	ok	model=lr calibrate=True folds=4 early_cutoff=None W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.448483	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.423323	0.236904	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=14 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.239005	0.251912	ok	model=ensemble_stack calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.379660	0.237830	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.327392	0.244004	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.370459	0.236919	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=17 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.413306	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.403992	0.236932	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=9 threshold=0.14 feats=63
e89d45a	0.441187	0.236883	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=64
e89d45a	0.405015	0.236727	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.393993	0.237080	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.429968	0.236888	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
